"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"  1566 Icarus (1949 MA)",1.078,0.8270,22.80,87.95,31.43,0.187,1.97,1.12,27425,0,1755,10,13,16.57
"  1620 Geographos (1951 RA)",1.246,0.3356,13.34,337.15,277.01,0.828,1.66,1.39,26433,0,8159,3,4,15.27
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.56,286.03,0.647,2.29,1.78,34041,0,3461,8,9,16.08
"  1981 Midas (1973 EA)",1.776,0.6505,39.82,356.80,267.84,0.621,2.93,2.37,18496,0,1203,12,1,15.28
"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.43,43.69,0.442,3.31,2.57,30790,0,123,0,5,18.72
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.35,61.52,0.904,1.68,1.47,17388,0,2148,1,0,16.00
"  2135 Aristaeus (1977 HA)",1.6,0.5030,23.07,191.11,290.97,0.795,2.40,2.02,15749,1,61,,,18.05
"  2201 Oljato (1947 XC)",2.179,0.7107,2.52,74.87,98.37,0.630,3.73,3.22,33908,0,1421,0,5,15.36
"  2340 Hathor (1976 UA)",0.8438,0.4500,5.86,211.29,40.10,0.464,1.22,0.775,16477,0,572,4,3,20.43
"  3122 Florence (1981 ET3)",1.769,0.4231,22.14,336.05,27.90,1.021,2.52,2.35,16645,0,8818,6,0,14.10
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.31,265.10,322.31,0.140,2.40,1.43,14953,0,7070,8,0,14.40
"  3361 Orpheus (1982 HR)",1.21,0.3229,2.66,188.68,302.34,0.820,1.60,1.33,14651,0,2744,2,0,19.56
"  3362 Khufu (1984 QA)",0.9895,0.4685,9.92,152.40,55.09,0.526,1.45,0.984,7394,1,262,,,18.52
"  3671 Dionysus (1984 KD)",2.2,0.5420,13.54,82.05,204.33,1.008,3.39,3.26,14475,0,1117,,,16.50
"  3757 Anagolay (1982 XB)",1.834,0.4459,3.87,74.93,17.24,1.017,2.65,2.48,15208,0,209,0,2,19.04
"  4015 Wilson-Harrington (1979 VA)",2.626,0.6312,2.80,266.73,95.52,0.968,4.28,4.25,27140,0,1514,,,16.19
"  4034 Vishnu (1986 PA)",1.06,0.4441,11.17,157.89,296.70,0.589,1.53,1.09,13881,0,808,0,1,18.52
"  4179 Toutatis (1989 AC)",2.543,0.6248,0.45,125.36,277.88,0.954,4.13,4.06,33107,0,6798,33,28,15.31
"  4183 Cuno (1959 LM)",1.981,0.6361,6.67,294.35,237.02,0.721,3.24,2.79,23863,0,3820,1,0,14.17
"  4450 Pan (1987 SY)",1.443,0.5866,5.52,311.70,291.94,0.596,2.29,1.73,31367,0,1513,1,0,17.28
"  4486 Mithra (1987 SB)",2.205,0.6620,3.04,82.18,169.12,0.745,3.67,3.28,13460,0,1882,8,9,15.61
"  4581 Asclepius (1989 FC)",1.023,0.3570,4.92,180.20,255.38,0.658,1.39,1.03,11706,0,424,2,2,20.74
"  4660 Nereus (1982 DB)",1.485,0.3587,1.45,313.11,159.54,0.952,2.02,1.81,15434,0,4994,20,17,18.75
"  4769 Castalia (1989 PB)",1.063,0.4832,8.88,325.51,121.44,0.549,1.58,1.1,12847,0,776,8,7,17.50
"  4953 (1990 MU)",1.621,0.6574,24.38,77.53,77.93,0.555,2.69,2.06,18338,0,2784,0,2,14.94
"  5011 Ptah (6743 P-L)",1.636,0.5001,7.41,10.63,105.94,0.818,2.45,2.09,23011,0,639,,,16.70
"  5189 (1990 UQ)",1.552,0.4783,3.58,135.05,159.95,0.809,2.29,1.93,12135,0,1789,4,1,17.84
"  5604 (1992 FE)",0.9286,0.4061,4.71,311.89,82.68,0.552,1.31,0.895,14344,0,1179,6,0,17.38
"  5693 (1993 EA)",1.271,0.5851,5.06,96.98,258.98,0.527,2.01,1.43,14717,0,2847,,,16.79
"  6037 (1988 EG)",1.272,0.4997,3.51,182.18,242.32,0.636,1.91,1.43,13260,0,1100,5,4,18.87
"  6239 Minos (1989 QF)",1.151,0.4126,3.94,344.53,239.77,0.676,1.63,1.23,14890,0,1502,3,0,18.61
"  6489 Golevka (1991 JX)",2.484,0.6151,2.27,209.42,68.66,0.956,4.01,3.91,8968,0,1017,20,20,19.22
"  6491 (1991 OA)",2.506,0.5917,6.00,301.00,324.73,1.023,3.99,3.97,11898,0,202,,,18.72
"  7335 (1989 JA)",1.772,0.4846,15.17,61.28,232.27,0.913,2.63,2.36,12808,0,2648,4,5,17.70
"  7341 (1991 VK)",1.841,0.5061,5.41,294.73,173.48,0.909,2.77,2.5,11636,0,2443,10,3,16.96
"  7482 (1994 PC1)",1.349,0.3294,33.47,117.85,47.49,0.904,1.79,1.57,18247,0,1491,2,2,16.66
"  7753 (1988 XB)",1.467,0.4817,3.12,73.39,280.08,0.761,2.17,1.78,12528,0,1305,8,9,18.02
"  7822 (1991 CS)",1.123,0.1646,37.12,156.84,249.45,0.938,1.31,1.19,11845,0,3958,0,4,17.34
"  8014 (1990 MF)",1.747,0.4560,1.87,209.84,114.73,0.951,2.54,2.31,12294,0,1272,9,12,18.88
"  8566 (1996 EN)",1.506,0.4302,37.97,164.12,125.13,0.858,2.15,1.85,14969,0,3627,,,16.48
"  9856 (1991 EE)",2.242,0.6258,9.83,168.11,116.18,0.839,3.65,3.36,11992,0,1308,3,1,17.11
" 10115 (1992 SK)",1.249,0.3250,15.32,8.89,233.69,0.843,1.65,1.4,25925,0,2187,10,7,17.12
" 11500 Tomaiyowit (1989 UR)",1.08,0.3558,10.31,234.39,289.52,0.696,1.46,1.12,10889,0,1243,0,1,18.37
" 12538 (1998 OH)",1.542,0.4058,24.54,220.69,321.79,0.916,2.17,1.91,12047,0,11308,0,1,15.97
" 12923 Zephyr (1999 GK4)",1.963,0.4918,5.30,168.17,147.13,0.998,2.93,2.75,25366,0,2643,,,15.82
" 13651 (1997 BR)",1.335,0.3057,17.25,116.63,133.86,0.927,1.74,1.54,15689,0,1094,0,2,17.89
" 14827 Hypnos (1986 JK)",2.841,0.6649,1.98,57.93,238.19,0.952,4.73,4.79,14033,0,322,0,11,18.75
